subject,activity,TimeBodyAccelerometerMeanAxisX,TimeBodyAccelerometerMeanAxisY,TimeBodyAccelerometerMeanAxisZ,TimeBodyAccelerometerStandardDeviationAxisX,TimeBodyAccelerometerStandardDeviationAxisY,TimeBodyAccelerometerStandardDeviationAxisZ,TimeGravityAccelerometerMeanAxisX,TimeGravityAccelerometerMeanAxisY,TimeGravityAccelerometerMeanAxisZ,TimeGravityAccelerometerStandardDeviationAxisX,TimeGravityAccelerometerStandardDeviationAxisY,TimeGravityAccelerometerStandardDeviationAxisZ,TimeBodyAccelerometerJerkMeanAxisX,TimeBodyAccelerometerJerkMeanAxisY,TimeBodyAccelerometerJerkMeanAxisZ,TimeBodyAccelerometerJerkStandardDeviationAxisX,TimeBodyAccelerometerJerkStandardDeviationAxisY,TimeBodyAccelerometerJerkStandardDeviationAxisZ,TimeBodyGyroscopeMeanAxisX,TimeBodyGyroscopeMeanAxisY,TimeBodyGyroscopeMeanAxisZ,TimeBodyGyroscopeStandardDeviationAxisX,TimeBodyGyroscopeStandardDeviationAxisY,TimeBodyGyroscopeStandardDeviationAxisZ,TimeBodyGyroscopeJerkMeanAxisX,TimeBodyGyroscopeJerkMeanAxisY,TimeBodyGyroscopeJerkMeanAxisZ,TimeBodyGyroscopeJerkStandardDeviationAxisX,TimeBodyGyroscopeJerkStandardDeviationAxisY,TimeBodyGyroscopeJerkStandardDeviationAxisZ,TimeBodyAccelerometerMagnitudeMean,TimeBodyAccelerometerMagnitudeStandardDeviation,TimeGravityAccelerometerMagnitudeMean,TimeGravityAccelerometerMagnitudeStandardDeviation,TimeBodyAccelerometerJerkMagnitudeMean,TimeBodyAccelerometerJerkMagnitudeStandardDeviation,TimeBodyGyroscopeMagnitudeMean,TimeBodyGyroscopeMagnitudeStandardDeviation,TimeBodyGyroscopeJerkMagnitudeMean,TimeBodyGyroscopeJerkMagnitudeStandardDeviation,FrequencyBodyAccelerometerMeanAxisX,FrequencyBodyAccelerometerMeanAxisY,FrequencyBodyAccelerometerMeanAxisZ,FrequencyBodyAccelerometerStandardDeviationAxisX,FrequencyBodyAccelerometerStandardDeviationAxisY,FrequencyBodyAccelerometerStandardDeviationAxisZ,FrequencyBodyAccelerometerJerkMeanAxisX,FrequencyBodyAccelerometerJerkMeanAxisY,FrequencyBodyAccelerometerJerkMeanAxisZ,FrequencyBodyAccelerometerJerkStandardDeviationAxisX,FrequencyBodyAccelerometerJerkStandardDeviationAxisY,FrequencyBodyAccelerometerJerkStandardDeviationAxisZ,FrequencyBodyGyroscopeMeanAxisX,FrequencyBodyGyroscopeMeanAxisY,FrequencyBodyGyroscopeMeanAxisZ,FrequencyBodyGyroscopeStandardDeviationAxisX,FrequencyBodyGyroscopeStandardDeviationAxisY,FrequencyBodyGyroscopeStandardDeviationAxisZ,FrequencyBodyAccelerometerMagnitudeMean,FrequencyBodyAccelerometerMagnitudeStandardDeviation,FrequencyBodyAccelerometerJerkMagnitudeMean,FrequencyBodyAccelerometerJerkMagnitudeStandardDeviation,FrequencyBodyGyroscopeMagnitudeMean,FrequencyBodyGyroscopeMagnitudeStandardDeviation,FrequencyBodyGyroscopeJerkMagnitudeMean,FrequencyBodyGyroscopeJerkMagnitudeStandardDeviation
2,STANDING,0.2779114722,-0.0184208270,-0.1059085361,-0.9872718893,-0.9573049893,-0.9497418513,0.8969285669,-0.3700626969,0.1297471612,-0.9866858187,-0.9741944204,-0.9459270787,0.0747588598,0.0103291775,-0.0083715885,-0.9810857156,-0.9710594396,-0.9828414465,-0.0238623876,-0.0820396578,0.0878351695,-0.9729986298,-0.9714419965,-0.9648567019,-0.1055621579,-0.0422419535,-0.0546539479,-0.9793240007,-0.9834472585,-0.9736101183,-0.9658751813,-0.9578749650,-0.9658751813,-0.9578749650,-0.9804890774,-0.9766752802,-0.9634663419,-0.9539433804,-0.9839519043,-0.9772044278,-0.9839467398,-0.9598716974,-0.9624711957,-0.9890564698,-0.9579088422,-0.9464335835,-0.9809732417,-0.9708513380,-0.9797751520,-0.9830079237,-0.9735202411,-0.9845999052,-0.9670371120,-0.9725761530,-0.9606276961,-0.9749881246,-0.9710360504,-0.9697542957,-0.9640521665,-0.9605193815,-0.9770652956,-0.9751604600,-0.9617759048,-0.9567887257,-0.9778498274,-0.9777542981
2,LAYING,0.2813734040,-0.0181587398,-0.1072456104,-0.9740594648,-0.9802773988,-0.9842332969,-0.5097542381,0.7525366394,0.6468348796,-0.9590144415,-0.9882118652,-0.9842304181,0.0825972512,0.0122547885,-0.0018026490,-0.9858721687,-0.9831725412,-0.9884420144,-0.0184766067,-0.1118008246,0.1448828461,-0.9882752329,-0.9822916090,-0.9603065604,-0.1019741342,-0.0358590176,-0.0701783021,-0.9932358492,-0.9895675379,-0.9880358213,-0.9774354852,-0.9728739129,-0.9774354852,-0.9728739129,-0.9877416960,-0.9855180762,-0.9500115696,-0.9611640540,-0.9917670742,-0.9897180952,-0.9767250598,-0.9798008779,-0.9843809819,-0.9732464821,-0.9810251056,-0.9847921850,-0.9858136308,-0.9827682504,-0.9861971346,-0.9872502558,-0.9849873929,-0.9893453685,-0.9864311425,-0.9833216354,-0.9626718875,-0.9888606858,-0.9819106165,-0.9631742223,-0.9751101965,-0.9751213879,-0.9853741148,-0.9845684892,-0.9721129727,-0.9610983788,-0.9902487023,-0.9894926604
3,WALKING,0.2755674621,-0.0171767844,-0.1126748598,-0.3603567260,-0.0699140652,-0.3874119943,0.9365067433,-0.2619863579,-0.1381078663,-0.9777715914,-0.9623556395,-0.9520917950,0.0814745883,0.0100591485,-0.0056226459,-0.2686796439,-0.0449619594,-0.5294861164,-0.0256405193,-0.0779150937,0.0813485943,-0.5718695602,-0.5637932602,-0.4766964116,-0.0952398165,-0.0387874652,-0.0503616101,-0.3859229860,-0.6390879841,-0.5366640803,-0.2546903333,-0.3284289366,-0.2546903333,-0.3284289366,-0.2800093174,-0.1399163553,-0.4664117541,-0.5615106833,-0.5661352179,-0.5673715609,-0.3166140117,-0.0813024353,-0.4123740745,-0.3792767812,-0.1240308320,-0.4229984740,-0.3046944426,-0.1405085902,-0.5141372553,-0.2965966331,-0.0056149876,-0.5435291081,-0.4378457638,-0.5615262653,-0.4181262174,-0.6151213698,-0.5688886734,-0.5458963881,-0.2900315352,-0.4563730809,-0.1867645170,-0.0898519904,-0.5697557722,-0.6326432929,-0.6077516460,-0.5490870079
3,WALKING_UPSTAIRS,0.2608198731,-0.0324109411,-0.1100648634,-0.3131234376,0.0116280813,-0.3697546041,0.8835334361,-0.3828511537,-0.1629439553,-0.9440408193,-0.9098259539,-0.9094696751,0.0426880986,0.0397249270,0.0208205538,-0.4583646169,-0.2516803645,-0.7085517119,0.0721980309,-0.1392754056,0.0215603697,-0.4560392625,-0.5827428459,-0.4923273051,-0.1155105695,-0.0400372510,-0.0498180874,-0.5072707580,-0.7757741434,-0.5734339476,-0.1840148950,-0.3335974325,-0.1840148950,-0.3335974325,-0.4369011595,-0.4390205917,-0.3473218122,-0.4088866532,-0.6588614014,-0.7180280403,-0.3920042115,-0.0788094157,-0.5044945285,-0.2853330241,-0.0080398753,-0.3507972263,-0.4784343063,-0.2837725475,-0.6773145341,-0.4864465097,-0.2681915236,-0.7387058639,-0.3782166818,-0.6372935083,-0.4315033615,-0.4848209914,-0.5560459471,-0.5610976497,-0.3158660795,-0.4479943692,-0.4129208985,-0.4806092022,-0.5142115837,-0.4451818024,-0.7168777786,-0.7400334363
3,WALKING_DOWNSTAIRS,0.2924234847,-0.0193554079,-0.1161398429,-0.0574100475,-0.0331503723,-0.3622402455,0.9390577878,-0.2288292143,-0.1023527580,-0.9500611296,-0.9460946378,-0.8999439478,0.0725689294,0.0109707769,-0.0020272798,-0.0858010042,-0.1114391950,-0.5717352431,-0.1315732765,-0.0139358044,0.1238267384,-0.2616534140,-0.5467403880,-0.4423077676,-0.0778701650,-0.0391567931,-0.0416193131,-0.2856831623,-0.6809473382,-0.3746054123,-0.0628126118,-0.0411340078,-0.0628126118,-0.0411340078,-0.2052392467,-0.0926324495,-0.2152945012,-0.2457946993,-0.5085675771,-0.5839192110,-0.0421706943,-0.0077004830,-0.4044524143,-0.0654417193,-0.1097223543,-0.3897230341,-0.0906707125,-0.1359385426,-0.5290594506,-0.1654428987,-0.1477282401,-0.6135250743,-0.1290665743,-0.5426941641,-0.3028664612,-0.3086303311,-0.5530945402,-0.5481643133,0.0289413196,-0.2338494221,-0.0494779773,-0.1591022880,-0.3323766294,-0.3224408270,-0.5762771994,-0.6249108206
3,SITTING,0.2571975991,-0.0035029984,-0.0983579203,-0.9710101210,-0.8566178121,-0.8751101754,0.9010989846,0.1273033792,0.1390205825,-0.9573244579,-0.9039230083,-0.8977363183,0.0726098419,0.0027252913,-0.0042334837,-0.9744673904,-0.9536313910,-0.9746615660,-0.0385365205,-0.0752410027,0.0940113976,-0.9654347685,-0.9448545713,-0.9264137104,-0.1036058891,-0.0360909882,-0.0590079967,-0.9725469060,-0.9786359087,-0.9737516706,-0.8953833502,-0.8703017000,-0.8953833502,-0.8703017000,-0.9690807529,-0.9665500842,-0.9193543723,-0.9255181038,-0.9779980519,-0.9767726760,-0.9701544410,-0.8919077513,-0.9179879254,-0.9716058785,-0.8496556575,-0.8643224640,-0.9749503635,-0.9541701513,-0.9708456694,-0.9762835348,-0.9564617567,-0.9771595725,-0.9575506377,-0.9561735500,-0.9349679588,-0.9680130629,-0.9396099885,-0.9306331508,-0.9041857256,-0.8746265921,-0.9658888917,-0.9665688529,-0.9466649437,-0.9254496290,-0.9778981056,-0.9766898027
3,STANDING,0.2800465133,-0.0143376555,-0.1016217226,-0.9667425430,-0.8934493072,-0.9114190151,0.9350307785,-0.3017351303,0.0247631068,-0.9820204280,-0.9574253218,-0.9281615774,0.0750900622,0.0077166364,-0.0080717793,-0.9570864893,-0.9416867857,-0.9730596349,-0.0246626071,-0.0585101918,0.0665262054,-0.9004622275,-0.9277886182,-0.9123640815,-0.0994602621,-0.0472415819,-0.0416832157,-0.9409376425,-0.9684337479,-0.9582930118,-0.9254308190,-0.9151433036,-0.9254308190,-0.9151433036,-0.9593038403,-0.9487700433,-0.8920893493,-0.8821252215,-0.9623393397,-0.9576797669,-0.9601234095,-0.9080753538,-0.9395077352,-0.9699312874,-0.8924343485,-0.9048012546,-0.9576668567,-0.9434979736,-0.9691749034,-0.9605709218,-0.9439485472,-0.9755959495,-0.9012822675,-0.9377111572,-0.9161725377,-0.9019856725,-0.9231259411,-0.9197438461,-0.9269689323,-0.9218360766,-0.9486274677,-0.9482068144,-0.9136823626,-0.8834397180,-0.9603317179,-0.9571215105
3,LAYING,0.2755168527,-0.0189556785,-0.1013004775,-0.9827766392,-0.9620575445,-0.9636910348,-0.2417584781,0.8370320997,0.4887031852,-0.9825121931,-0.9812027497,-0.9648075439,0.0769811126,0.0138041011,-0.0043562587,-0.9808793148,-0.9687107247,-0.9820931629,-0.0208170540,-0.0718507159,0.1379995611,-0.9745457521,-0.9772726537,-0.9635056090,-0.1000444988,-0.0389771765,-0.0687338700,-0.9803286450,-0.9867627419,-0.9833382795,-0.9727913461,-0.9642181765,-0.9727913461,-0.9642181765,-0.9794845934,-0.9761212979,-0.9515647515,-0.9542751110,-0.9867136252,-0.9831392556,-0.9806656090,-0.9611699829,-0.9683321416,-0.9836911290,-0.9640946042,-0.9632790802,-0.9805132023,-0.9687521137,-0.9791223444,-0.9831226160,-0.9710440127,-0.9837119047,-0.9701672629,-0.9780996823,-0.9623419608,-0.9759864337,-0.9770324955,-0.9672568542,-0.9655242752,-0.9683502174,-0.9759495979,-0.9753053779,-0.9645867248,-0.9554418558,-0.9842782513,-0.9825681581
4,WALKING,0.2785820152,-0.0148399475,-0.1114030648,-0.4408299713,-0.0788267368,-0.5862528068,0.9639996968,-0.0858540266,0.1277641127,-0.9838264948,-0.9679632210,-0.9629681120,0.0783529082,0.0029560243,-0.0007676793,-0.2970426125,-0.2211651316,-0.7513913825,-0.0317982558,-0.0726905279,0.0805677161,-0.5009166590,-0.6653940928,-0.6626082260,-0.1153215565,-0.0393474489,-0.0551166853,-0.4923410668,-0.8074199370,-0.6404541328,-0.3120505742,-0.5276791032,-0.3120505742,-0.5276791032,-0.3667008798,-0.3169189560,-0.4977922011,-0.5531161112,-0.681…32521 tokens truncated…79,-0.1154212106,-0.0386367423,-0.1647832065,-0.3079520898,-0.4405465861,-0.4658075335,0.0829831545,-0.0626729573,-0.2416003611,0.1949127166,-0.1756470647,-0.3030907019,-0.0437826263,-0.1709752706,-0.3436263963,-0.0522811342,-0.1632439784,-0.4747554920,-0.2966286115,-0.4021328106,-0.1449049041,-0.3909684364,-0.5430332466,-0.3678160466,0.1498164592,-0.0712120044,0.0108575640,-0.1136259450,-0.3591137248,-0.3979841956,-0.4677777688,-0.5028313735
27,SITTING,0.2739413026,-0.0155269799,-0.1055219126,-0.9885801077,-0.9715791257,-0.9658587351,0.8394647140,0.2129470214,0.2764174310,-0.9824457380,-0.9825533366,-0.9672680660,0.0779038964,0.0046707242,-0.0061128543,-0.9906580979,-0.9850974707,-0.9889040016,-0.0371830822,-0.0797345645,0.0833752812,-0.9884924251,-0.9820674651,-0.9757133101,-0.0951635808,-0.0396410809,-0.0503883556,-0.9936403183,-0.9922264421,-0.9917667876,-0.9794816689,-0.9695266747,-0.9794816689,-0.9695266747,-0.9894671783,-0.9892005396,-0.9635654740,-0.9707821327,-0.9940347107,-0.9921128296,-0.9886821084,-0.9740578556,-0.9746658170,-0.9886591964,-0.9712660627,-0.9632206726,-0.9908396074,-0.9852385837,-0.9870877211,-0.9912922707,-0.9860831140,-0.9892825169,-0.9872079047,-0.9841411191,-0.9768481343,-0.9889846184,-0.9810376903,-0.9775955191,-0.9747664667,-0.9708852969,-0.9887732694,-0.9885316511,-0.9794828209,-0.9705282663,-0.9923902643,-0.9919677763
